# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-09-19 20:43:43 -04:00	(natwebsdas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02331600 CHATTAHOOCHEE RIVER NEAR CORNELIA, GA
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
# IV_TS_ID - An internal number representing the Instantaneous Value time series from which the daily statistic is calculated.
#
# Data provided for site 02331600
#    TS_ID       Parameter    Statistic  IV_TS_ID       Description
#    36248       00045        00006      39444          Precipitation, total, inches (Sum)
#    36244       00060        00003      39442          Discharge, cubic feet per second (Mean)
#    36247       00065        00003      39443          Gage height, feet (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
#
agency_cd	site_no	datetime	36248_00045_00006	36248_00045_00006_cd	36244_00060_00003	36244_00060_00003_cd	36247_00065_00003	36247_00065_00003_cd
USGS	02331600	2011-12-13	0.00	A	389	A	0.93	A
USGS	02331600	2011-12-14	0.00	A	361	A	0.88	A
USGS	02331600	2011-12-15	0.00	A	339	A	0.83	A
USGS	02331600	2011-12-16	0.00	A	331	A	0.82	A
USGS	02331600	2011-12-17	0.00	A	322	A	0.80	A
USGS	02331600	2011-12-18	0.00	A	297	A	0.74	A
USGS	02331600	2011-12-19	0.00	A	287	A	0.72	A
USGS	02331600	2011-12-20	0.32	A	288	A	0.72	A
USGS	02331600	2011-12-21	0.35	A	468	A	1.05	A
USGS	02331600	2011-12-22	0.90	A	629	A	1.28	A
USGS	02331600	2011-12-23	0.01	A	2040	A	2.77	A
USGS	02331600	2011-12-24	0.00	A	907	A	1.62	A
USGS	02331600	2011-12-25	0.03	A	664	A	1.34	A
USGS	02331600	2011-12-26	0.01	A	563	A	1.20	A
USGS	02331600	2011-12-27	1.39	A	1350	A	2.07	A
USGS	02331600	2011-12-28	0.01	A	1060	A	1.79	A
USGS	02331600	2011-12-29	0.00	A	752	A	1.45	A
USGS	02331600	2011-12-30	0.00	A	632	A	1.30	A
USGS	02331600	2011-12-31	0.01	A	567	A	1.21	A
USGS	02331600	2012-01-01	0.01	A	513	A	1.13	A
USGS	02331600	2012-01-02	0.00	A	470	A	1.06	A
USGS	02331600	2012-01-03	0.00	A	429	A	1.00	A
USGS	02331600	2012-01-04	0.00	A	411	A	0.97	A
USGS	02331600	2012-01-05	0.00	A	401	A	0.95	A
USGS	02331600	2012-01-06	0.00	A	384	A	0.92	A
USGS	02331600	2012-01-07	0.13	A	377	A	0.91	A
USGS	02331600	2012-01-08	0.50	A	403	A	0.95	A
USGS	02331600	2012-01-09	0.45	A	476	A	1.07	A
USGS	02331600	2012-01-10	0.24	A	449	A	1.03	A
USGS	02331600	2012-01-11	0.59	A	930	A	1.62	A
USGS	02331600	2012-01-12	0.06	A	992	A	1.72	A
USGS	02331600	2012-01-13	0.00	A	675	A	1.35	A
USGS	02331600	2012-01-14	0.00	A	560	A	1.20	A
USGS	02331600	2012-01-15	0.00	A	505	A	1.12	A
USGS	02331600	2012-01-16	0.00	A	459	A	1.05	A
USGS	02331600	2012-01-17	1.15	A	480	A	1.07	A
USGS	02331600	2012-01-18	0.00	A	1280	A	2.03	A
USGS	02331600	2012-01-19	0.00	A	763	A	1.46	A
USGS	02331600	2012-01-20	0.73	A	640	A	1.31	A
USGS	02331600	2012-01-21	0.73	A	1390	A	2.14	A
USGS	02331600	2012-01-22	0.10	A	1210	A	1.96	A
USGS	02331600	2012-01-23	0.62	A	1560	A	2.29	A
USGS	02331600	2012-01-24	0.01	A	1450	A	2.21	A
USGS	02331600	2012-01-25	0.00	A	1030	A	1.75	A
USGS	02331600	2012-01-26	0.22	A	878	A	1.59	A
USGS	02331600	2012-01-27	0.04	A	993	A	1.72	A
USGS	02331600	2012-01-28	0.00	A	843	A	1.55	A
USGS	02331600	2012-01-29	0.00	A	747	A	1.44	A
USGS	02331600	2012-01-30	0.00	A	687	A	1.37	A
USGS	02331600	2012-01-31	0.00	A	645	A	1.32	A
USGS	02331600	2012-02-01	0.19	A	626	A	1.29	A
USGS	02331600	2012-02-02	0.01	A	659	A	1.33	A
USGS	02331600	2012-02-03	0.00	A	588	A	1.24	A
USGS	02331600	2012-02-04	0.17	A	589	A	1.24	A
USGS	02331600	2012-02-05	0.05	A	724	A	1.41	A
USGS	02331600	2012-02-06	0.00	A	627	A	1.29	A
USGS	02331600	2012-02-07	0.00	A	583	A	1.23	A
USGS	02331600	2012-02-08	0.00	A	552	A	1.19	A
USGS	02331600	2012-02-09	0.00	A	522	A	1.14	A
USGS	02331600	2012-02-10	0.00	A	506	A	1.12	A
USGS	02331600	2012-02-11	0.00	A	492	A	1.10	A
USGS	02331600	2012-02-12	0.00	A	456	A	1.04	A
USGS	02331600	2012-02-13	0.00	A	452	A	1.04	A
USGS	02331600	2012-02-14	0.05	A	458	A	1.05	A
USGS	02331600	2012-02-15	0.01	A	447	A	1.03	A
USGS	02331600	2012-02-16	0.17	A	465	A	1.06	A
USGS	02331600	2012-02-17	0.00	A	462	A	1.05	A
USGS	02331600	2012-02-18	0.13	A	432	A	1.00	A
USGS	02331600	2012-02-19	0.42	A	482	A	1.08	A
USGS	02331600	2012-02-20	0.00	A	531	A	1.16	A
USGS	02331600	2012-02-21	0.00	A	453	A	1.04	A
USGS	02331600	2012-02-22	0.21	A	443	A	1.02	A
USGS	02331600	2012-02-23	0.05	A	501	A	1.11	A
USGS	02331600	2012-02-24	0.01	A	461	A	1.05	A
USGS	02331600	2012-02-25	0.00	A	415	A	0.97	A
USGS	02331600	2012-02-26	0.00	A	401	A	0.95	A
USGS	02331600	2012-02-27	0.00	A	401	A	0.95	A
USGS	02331600	2012-02-28	0.06	A	399	A	0.95	A
USGS	02331600	2012-02-29	0.36	A	453	A	1.04	A
USGS	02331600	2012-03-01	0.17	A	543	A	1.17	A
USGS	02331600	2012-03-02	0.08	A	479	A	1.08	A
USGS	02331600	2012-03-03	1.60	A	2320	A	3.01	A
USGS	02331600	2012-03-04	0.00	A	1170	A	1.91	A
USGS	02331600	2012-03-05	0.00	A	812	A	1.52	A
USGS	02331600	2012-03-06	0.00	A	674	A	1.35	A
USGS	02331600	2012-03-07	0.00	A	620	A	1.28	A
USGS	02331600	2012-03-08	0.14	A	594	A	1.25	A
USGS	02331600	2012-03-09	0.45	A	737	A	1.43	A
USGS	02331600	2012-03-10	0.00	A	628	A	1.29	A
USGS	02331600	2012-03-11	0.00	A	576	A	1.22	A
USGS	02331600	2012-03-12	0.15	A	570	A	1.21	A
USGS	02331600	2012-03-13	0.13	A	619	A	1.28	A
USGS	02331600	2012-03-14	0.00	A	569	A	1.21	A
USGS	02331600	2012-03-15	0.00	A	542	A	1.17	A
USGS	02331600	2012-03-16	0.14	A	596	A	1.25	A
USGS	02331600	2012-03-17	0.06	A	609	A	1.27	A
USGS	02331600	2012-03-18	0.32	A	587	A	1.24	A
USGS	02331600	2012-03-19	0.00	A	547	A	1.18	A
USGS	02331600	2012-03-20	0.00	A	528	A	1.15	A
USGS	02331600	2012-03-21	0.00	A	500	A	1.11	A
USGS	02331600	2012-03-22	0.34	A	497	A	1.11	A
USGS	02331600	2012-03-23	0.10	A	526	A	1.15	A
USGS	02331600	2012-03-24	0.00	A	534	A	1.16	A
USGS	02331600	2012-03-25	0.00	A	507	A	1.12	A
USGS	02331600	2012-03-26	0.00	A	480	A	1.08	A
USGS	02331600	2012-03-27	0.00	A	452	A	1.03	A
USGS	02331600	2012-03-28	0.00	A	441	A	1.02	A
USGS	02331600	2012-03-29	0.00	A	439	A	1.01	A
USGS	02331600	2012-03-30	0.36	A	441	A	1.01	A
USGS	02331600	2012-03-31	0.39	A	830	A	1.43	A
USGS	02331600	2012-04-01	0.00	A	670	A	1.22	A
USGS	02331600	2012-04-02	0.00	A	594	A	1.12	A
USGS	02331600	2012-04-03	0.05	A	602	A	1.12	A
USGS	02331600	2012-04-04	0.00	A	638	A	1.18	A
USGS	02331600	2012-04-05	0.01	A	581	A	1.10	A
USGS	02331600	2012-04-06	0.42	A	640	A	1.18	A
USGS	02331600	2012-04-07	0.00	A	569	A	1.08	A
USGS	02331600	2012-04-08	0.00	A	531	A	1.03	A
USGS	02331600	2012-04-09	0.00	A	507	A	0.99	A
USGS	02331600	2012-04-10	0.00	A	482	A	0.95	A
USGS	02331600	2012-04-11	0.00	A	465	A	0.93	A
USGS	02331600	2012-04-12	0.00	A	450	A	0.90	A
USGS	02331600	2012-04-13	0.00	A	447	A	0.90	A
USGS	02331600	2012-04-14	0.00	A	439	A	0.88	A
USGS	02331600	2012-04-15	0.00	A	436	A	0.88	A
USGS	02331600	2012-04-16	0.00	A	431	A	0.87	A
USGS	02331600	2012-04-17	0.73	A	449	A	0.90	A
USGS	02331600	2012-04-18	0.97	A	962	A	1.56	A
USGS	02331600	2012-04-19	0.00	A	778	A	1.35	A
USGS	02331600	2012-04-20	0.01	A	618	A	1.15	A
USGS	02331600	2012-04-21	0.00	A	718	A	1.26	A
USGS	02331600	2012-04-22	0.00	A	779	A	1.35	A
USGS	02331600	2012-04-23	0.00	A	608	A	1.14	A
USGS	02331600	2012-04-24	0.00	A	543	A	1.05	A
USGS	02331600	2012-04-25	0.00	A	513	A	1.00	A
USGS	02331600	2012-04-26	0.00	A	498	A	0.98	A
USGS	02331600	2012-04-27	0.00	A	511	A	1.00	A
USGS	02331600	2012-04-28	0.00	A	566	A	1.08	A
USGS	02331600	2012-04-29	0.00	A	486	A	0.96	A
USGS	02331600	2012-04-30	0.00	A	452	A	0.91	A
USGS	02331600	2012-05-01	0.00	A	434	A	0.88	A
USGS	02331600	2012-05-02	0.00	A	424	A	0.86	A
USGS	02331600	2012-05-03	0.00	A	403	A	0.82	A
USGS	02331600	2012-05-04	0.31	A	413	A	0.84	A
USGS	02331600	2012-05-05	0.00	A	399	A	0.82	A
USGS	02331600	2012-05-06	0.00	A	381	A	0.78	A
USGS	02331600	2012-05-07	0.00	A	380	A	0.78	A
USGS	02331600	2012-05-08	0.03	A	408	A	0.83	A
USGS	02331600	2012-05-09	0.07	A	410	A	0.83	A
USGS	02331600	2012-05-10	0.00	A	400	A	0.82	A
USGS	02331600	2012-05-11	0.00	A	361	A	0.75	A
USGS	02331600	2012-05-12	0.00	A	352	A	0.73	A
USGS	02331600	2012-05-13	1.91	A	587	A	1.07	A
USGS	02331600	2012-05-14	0.13	A	1020	A	1.63	A
USGS	02331600	2012-05-15	0.00	A	1120	A	1.76	A
USGS	02331600	2012-05-16	0.00	A	681	A	1.25	A
USGS	02331600	2012-05-17	0.04	A	538	A	1.07	A
USGS	02331600	2012-05-18	0.01	A	500	A	1.01	A
USGS	02331600	2012-05-19	0.00	A	449	A	0.93	A
USGS	02331600	2012-05-20	0.00	A	434	A	0.91	A
USGS	02331600	2012-05-21	0.00	A	404	A	0.85	A
USGS	02331600	2012-05-22	0.32	A	398	A	0.84	A
USGS	02331600	2012-05-23	0.00	A	427	A	0.89	A
USGS	02331600	2012-05-24	0.00	A	423	A	0.89	A
USGS	02331600	2012-05-25	0.00	A	373	A	0.80	A
USGS	02331600	2012-05-26	0.00	A	350	A	0.75	A
USGS	02331600	2012-05-27	0.00	A	337	A	0.73	A
USGS	02331600	2012-05-28	0.11	A	324	A	0.70	A
USGS	02331600	2012-05-29	0.10	A	345	A	0.75	A
USGS	02331600	2012-05-30	0.19	A	421	A	0.88	A
USGS	02331600	2012-05-31	0.30	A	346	A	0.75	A
USGS	02331600	2012-06-01	0.10	A	468	A	0.95	A
USGS	02331600	2012-06-02	0.00	A	398	A	0.84	A
USGS	02331600	2012-06-03	0.00	A	339	A	0.73	A
USGS	02331600	2012-06-04	0.35	A	398	A	0.84	A
USGS	02331600	2012-06-05	0.31	A	384	A	0.82	A
USGS	02331600	2012-06-06	0.20	A	373	A	0.80	A
USGS	02331600	2012-06-07	0.01	A	336	A	0.73	A
USGS	02331600	2012-06-08	0.00	A	323	A	0.70	A
USGS	02331600	2012-06-09	0.00	A	309	A	0.67	A
USGS	02331600	2012-06-10	0.25	A	320	A	0.69	A
USGS	02331600	2012-06-11	0.26	A	443	A	0.92	A
USGS	02331600	2012-06-12	0.00	A	407	A	0.86	A
USGS	02331600	2012-06-13	0.00	A	339	A	0.73	A
USGS	02331600	2012-06-14	0.07	A	443	A	0.91	A
USGS	02331600	2012-06-15	0.00	A	434	A	0.90	A
USGS	02331600	2012-06-16	0.00	A	359	A	0.77	A
USGS	02331600	2012-06-17	0.00	A	328	A	0.71	A
USGS	02331600	2012-06-18	0.00	A	308	A	0.67	A
USGS	02331600	2012-06-19	0.00	A	285	A	0.62	A
USGS	02331600	2012-06-20	0.00	A	268	A	0.58	A
USGS	02331600	2012-06-21	0.00	A	258	A	0.55	A
USGS	02331600	2012-06-22	0.02	A	251	A	0.53	A
USGS	02331600	2012-06-23	0.00	A	321	A	0.69	A
USGS	02331600	2012-06-24	0.00	A	280	A	0.60	A
USGS	02331600	2012-06-25	0.00	A	265	A	0.57	A
USGS	02331600	2012-06-26	0.00	A	238	A	0.50	A
USGS	02331600	2012-06-27	0.00	A	219	A	0.45	A
USGS	02331600	2012-06-28	0.00	A	206	A	0.41	A
USGS	02331600	2012-06-29	0.00	A	197	A	0.38	A
USGS	02331600	2012-06-30	0.00	A	190	A	0.35	A
USGS	02331600	2012-07-01	1.09	A	187	A	0.35	A
USGS	02331600	2012-07-02	0.32	A	671	A	1.21	A
USGS	02331600	2012-07-03	0.68	A	362	A	0.77	A
USGS	02331600	2012-07-04	0.00	A	337	A	0.72	A
USGS	02331600	2012-07-05	0.00	A	263	A	0.56	A
USGS	02331600	2012-07-06	0.00	A	232	A	0.48	A
USGS	02331600	2012-07-07	0.00	A	233	A	0.49	A
USGS	02331600	2012-07-08	0.00	A	223	A	0.46	A
USGS	02331600	2012-07-09	0.00	A	212	A	0.42	A
USGS	02331600	2012-07-10	0.61	A	207	A	0.41	A
USGS	02331600	2012-07-11	0.26	A	239	A	0.50	A
USGS	02331600	2012-07-12	0.22	A	265	A	0.56	A
USGS	02331600	2012-07-13	0.08	A	395	A	0.81	A
USGS	02331600	2012-07-14	0.10	A	603	A	1.16	A
USGS	02331600	2012-07-15	0.00	A	492	A	0.99	A
USGS	02331600	2012-07-16	0.81	A	471	A	0.96	A
USGS	02331600	2012-07-17	0.00	A	341	A	0.74	A
USGS	02331600	2012-07-18	0.98	A	331	A	0.71	A
USGS	02331600	2012-07-19	0.01	A	375	A	0.79	A
USGS	02331600	2012-07-20	0.00	A	280	A	0.61	A
USGS	02331600	2012-07-21	0.92	A	335	A	0.70	A
USGS	02331600	2012-07-22	0.00	A	424	A	0.88	A
USGS	02331600	2012-07-23	0.00	A	286	A	0.62	A
USGS	02331600	2012-07-24	0.00	A	257	A	0.55	A
USGS	02331600	2012-07-25	0.00	A	226	A	0.47	A
USGS	02331600	2012-07-26	0.00	A	213	A	0.43	A
USGS	02331600	2012-07-27	0.34	A	200	A	0.39	A
USGS	02331600	2012-07-28	0.31	A	203	A	0.40	A
USGS	02331600	2012-07-29	0.00	A	189	A	0.35	A
USGS	02331600	2012-07-30	0.13	A	176	A	0.31	A
USGS	02331600	2012-07-31	0.03	A	191	A	0.35	A
USGS	02331600	2012-08-01	0.00	A	223	A	0.46	A
USGS	02331600	2012-08-02	0.01	A	186	A	0.34	A
USGS	02331600	2012-08-03	0.72	A	172	A	0.30	A
USGS	02331600	2012-08-04	1.16	A	682	A	1.20	A
USGS	02331600	2012-08-05	0.00	A	447	A	0.91	A
USGS	02331600	2012-08-06	0.00	A	280	A	0.59	A
USGS	02331600	2012-08-07	0.18	A	473	A	0.91	A
USGS	02331600	2012-08-08	0.92	A	357	A	0.76	A
USGS	02331600	2012-08-09	0.19	A	356	A	0.76	A
USGS	02331600	2012-08-10	0.07	A	324	A	0.69	A
USGS	02331600	2012-08-11	0.14	A	320	A	0.68	A
USGS	02331600	2012-08-12	0.00	A	276	A	0.58	A
USGS	02331600	2012-08-13	0.00	A	236	A	0.48	A
USGS	02331600	2012-08-14	0.23	A	225	A	0.45	A
USGS	02331600	2012-08-15	0.00	A	237	A	0.49	A
USGS	02331600	2012-08-16	0.00	A	210	A	0.41	A
USGS	02331600	2012-08-17	0.00	A	190	A	0.35	A
USGS	02331600	2012-08-18	0.24	A	201	A	0.38	A
USGS	02331600	2012-08-19	0.79	A	274	A	0.58	A
USGS	02331600	2012-08-20	0.00	A	272	A	0.57	A
USGS	02331600	2012-08-21	0.00	A	211	A	0.41	A
USGS	02331600	2012-08-22	0.00	A	194	A	0.36	A
USGS	02331600	2012-08-23	0.19	A	183	A	0.32	A
USGS	02331600	2012-08-24	0.13	A	259	A	0.54	A
USGS	02331600	2012-08-25	0.00	A	216	A	0.43	A
USGS	02331600	2012-08-26	0.00	A	226	A	0.45	A
USGS	02331600	2012-08-27	0.00	A	182	A	0.32	A
USGS	02331600	2012-08-28	0.49	A	180	A	0.31	A
USGS	02331600	2012-08-29	0.00	A	247	A	0.51	A
USGS	02331600	2012-08-30	0.02	A	491	A	0.97	A
USGS	02331600	2012-08-31	0.00	A	309	A	0.66	A
USGS	02331600	2012-09-01	0.00	A	247	A	0.51	A
USGS	02331600	2012-09-02	0.01	A	223	A	0.45	A
USGS	02331600	2012-09-03	0.65	A	332	A	0.70	A
USGS	02331600	2012-09-04	0.08	A	396	A	0.83	A
USGS	02331600	2012-09-05	0.00	A	383	A	0.81	A
USGS	02331600	2012-09-06	0.00	A	303	A	0.65	A
USGS	02331600	2012-09-07	0.00	A	257	A	0.54	A
USGS	02331600	2012-09-08	0.03	A	230	A	0.47	A
USGS	02331600	2012-09-09	0.00	A	215	A	0.42	A
USGS	02331600	2012-09-10	0.00	A	203	A	0.39	A
USGS	02331600	2012-09-11	0.00	A	193	A	0.36	A
USGS	02331600	2012-09-12	0.00	A	189	A	0.34	A
USGS	02331600	2012-09-13	0.00	A	189	A	0.34	A
USGS	02331600	2012-09-14	0.00	A	197	A	0.37	A
USGS	02331600	2012-09-15	0.00	A	196	A	0.36	A
USGS	02331600	2012-09-16	0.25	A	230	A	0.45	A
USGS	02331600	2012-09-17	0.33	A	275	A	0.58	A
USGS	02331600	2012-09-18	1.09	A	663	A	1.18	A
USGS	02331600	2012-09-19	0.00	A	609	A	1.14	A
USGS	02331600	2012-09-20	0.00	A	349	A	0.74	A
USGS	02331600	2012-09-21	0.00	A	296	A	0.63	A
USGS	02331600	2012-09-22	0.00	A	266	A	0.56	A
USGS	02331600	2012-09-23	0.00	A	244	A	0.50	A
USGS	02331600	2012-09-24	0.00	A	232	A	0.47	A
USGS	02331600	2012-09-25	0.00	A	232	A	0.47	A
USGS	02331600	2012-09-26	0.00	A	230	A	0.47	A
USGS	02331600	2012-09-27	0.00	A	223	A	0.45	A
USGS	02331600	2012-09-28	0.00	A	218	A	0.43	A
USGS	02331600	2012-09-29	0.01	A	218	A	0.43	A
USGS	02331600	2012-09-30	0.67	A	224	A	0.45	A
USGS	02331600	2012-10-01	3.26	A	787	A	1.27	A
USGS	02331600	2012-10-02	0.58	A	5210	A	5.50	A
USGS	02331600	2012-10-03	0.00	A	1340	A	2.08	A
USGS	02331600	2012-10-04	0.00	A	869	A	1.56	A
USGS	02331600	2012-10-05	0.00	A	666	A	1.32	A
USGS	02331600	2012-10-06	0.00	A	518	A	1.12	A
USGS	02331600	2012-10-07	0.00	A	442	A	1.00	A
USGS	02331600	2012-10-08	0.00	A	403	A	0.93	A
USGS	02331600	2012-10-09	0.00	A	381	A	0.89	A
USGS	02331600	2012-10-10	0.00	A	363	A	0.86	A
USGS	02331600	2012-10-11	0.00	A	343	A	0.82	A
USGS	02331600	2012-10-12	0.00	A	332	A	0.80	A
USGS	02331600	2012-10-13	0.00	A	323	A	0.78	A
USGS	02331600	2012-10-14	0.00	A	314	A	0.76	A
USGS	02331600	2012-10-15	0.15	A	379	A	0.88	A
USGS	02331600	2012-10-16	0.00	A	356	A	0.84	A
USGS	02331600	2012-10-17	0.00	A	318	A	0.77	A
USGS	02331600	2012-10-18	0.10	A	315	A	0.76	A
USGS	02331600	2012-10-19	0.00	A	322	A	0.78	A
USGS	02331600	2012-10-20	0.00	A	302	A	0.74	A
USGS	02331600	2012-10-21	0.00	A	294	A	0.72	A
USGS	02331600	2012-10-22	0.00	A	291	A	0.71	A
USGS	02331600	2012-10-23	0.00	A	287	A	0.70	A
USGS	02331600	2012-10-24	0.00	A	283	A	0.69	A
USGS	02331600	2012-10-25	0.00	A	283	A	0.69	A
